date,user_id,user_country,page_url,visit_duration
12/10/16,4844930038,New Zealand,www.generalstore.com/cleaning/3322.jpg,6
12/3/16,435243657,Turkey,www.generalstore.com/home,3
12/6/16,57245323,UK,www.generalstore.com/household_goods/2085.jpg,0
12/9/16,46576879,,www.generalstore.com/entertainment/kids/29if.jpg,4
12/2/16,523446547,,www.generalstore.com/entertainment,111
12/9/16,657888432,Egypt,www.generalstore.com/kids/30-91.jpg,24
12/7/16,465768769,Japan,www.generalstore.com/auto/toyota/model/235.jpg,30
12/9/16,5834353,Australia,www.generalstore.com/kids,56
12/11/16,532435657,United States,www.generalstore.com/entertainment,5
12/2/16,84110097,"Alaska, United States",www.generalstore.com/clothing//shirts/,9
12/14/16,56796756,Germany,www.generalstore.com/garden,11
12/3/16,39384751,Australia,www.generalstore.com/garden/flowers/spring/autocomplete/form.txt,22
